date,symbol,adjusted_close,close,high,low,open,volume,daily_return,price_change,intraday_range,intraday_range_pct,typical_price,day_of_week,is_monday,is_friday
2022-01-03,ABBV,120.86256408691406,135.4199981689453,135.6999969482422,133.50999450683594,135.41000366210938,6839800,,,2.19000244140625,1.6171927861600461,134.8766632080078,0,1,0
2022-01-04,ABBV,120.63053894042967,135.16000366210938,136.22000122070312,134.3800048828125,135.3300018310547,6298300,-0.001919912201679197,-0.2599945068359375,1.839996337890625,1.361346765342274,135.25333658854166,1,0,0
2022-01-05,ABBV,121.26419067382812,135.8699951171875,138.14999389648438,135.0,135.0,7724900,0.005252970078730268,0.709991455078125,3.149993896484375,2.3183881722874236,136.33999633789062,2,0,0
2022-01-06,ABBV,120.6929931640625,135.22999572753906,136.66000366210938,135.16000366210938,136.39999389648438,4667000,-0.004710380603873854,-0.6399993896484375,1.5,1.1092213616734818,135.68333435058594,3,0,0
2022-01-07,ABBV,120.38063049316406,134.8800048828125,135.83999633789062,134.1300048828125,135.25,8630300,-0.0025881154757390057,-0.3499908447265625,1.709991455078125,1.2677872132076309,134.95000203450522,4,0,1
2022-01-10,ABBV,121.72828674316406,136.38999938964844,136.89999389648438,134.57000732421875,135.0800018310547,9794400,0.01119509528597562,1.5099945068359375,2.329986572265625,1.7083265508412808,135.95333353678384,0,1,0
2022-01-11,ABBV,122.24594116210938,136.97000122070312,137.08999633789062,134.8000030517578,135.85000610351562,7159400,0.004252524625340648,0.5800018310546875,2.2899932861328125,1.6718940393691681,136.2866668701172,1,0,0
2022-01-12,ABBV,122.5315170288086,137.2899932861328,137.38999938964844,136.02999877929688,136.52000427246094,6589300,0.0023362200670062894,0.3199920654296875,1.3600006103515625,0.9906043243203593,136.90333048502603,2,0,0
2022-01-13,ABBV,120.40339660644533,133.52000427246094,135.1199951171875,132.89999389648438,135.0,8386400,-0.027460042232026693,-3.769989013671875,2.220001220703125,1.6626731198817146,133.84666442871094,3,0,0
2022-01-14,ABBV,122.52252197265624,135.8699951171875,136.0500030517578,132.2899932861328,133.35000610351562,10484500,0.017600290364964133,2.3499908447265625,3.760009765625,2.767358431404963,134.73666381835938,4,0,1
2022-01-18,ABBV,123.34312438964844,136.77999877929688,137.97999572753906,135.27999877929688,135.50999450683594,12341900,0.006697605761481817,0.910003662109375,2.6999969482421875,1.9739705895149204,136.67999776204428,1,0,0
2022-01-19,ABBV,121.92737579345705,135.2100067138672,137.5,134.83999633789062,136.41000366210938,6196700,-0.011478228391878953,-1.5699920654296875,2.660003662109375,1.967312720972274,135.8500010172526,2,0,0
2022-01-20,ABBV,119.9615249633789,133.02999877929688,134.8000030517578,132.75,134.5,6612800,-0.016123125703141672,-2.1800079345703125,2.0500030517578125,1.5410080963458967,133.52666727701822,3,0,0
2022-01-21,ABBV,119.01466369628906,131.97999572753906,134.25,131.6699981689453,133.05999755859375,7583000,-0.00789297948878298,-1.0500030517578125,2.5800018310546875,1.9548430933282277,132.63333129882812,4,0,1
2022-01-24,ABBV,119.1769790649414,132.16000366210938,133.25,128.25999450683594,132.82000732421875,13733800,0.0013639031701586646,0.1800079345703125,4.9900054931640625,3.775730444077394,131.22333272298178,0,1,0
2022-01-25,ABBV,120.01561737060548,133.08999633789062,134.32000732421875,130.7899932861328,131.49000549316406,10296500,0.007036869325147244,0.92999267578125,3.5300140380859375,2.652351142248056,132.73333231608072,1,0,0
2022-01-26,ABBV,121.04364013671876,134.22999572753906,135.47999572753906,132.8300018310547,133.2899932861328,8040300,0.008565627928595054,1.1399993896484375,2.649993896484375,1.9742188637652573,134.17999776204428,2,0,0
2022-01-27,ABBV,122.6126937866211,135.97000122070312,138.3000030517578,135.36000061035156,135.5,8869100,0.012962866337982604,1.7400054931640625,2.94000244140625,2.162243447092503,136.5433349609375,3,0,0
2022-01-28,ABBV,124.3711166381836,137.9199981689453,137.97999572753906,134.60000610351562,135.99000549316406,8014400,0.014341376264879191,1.9499969482421875,3.3799896240234375,2.4506885650354446,136.83333333333334,4,0,1
2022-01-31,ABBV,123.44232177734376,136.88999938964844,137.1699981689453,135.6199951171875,136.82000732421875,10300000,-0.00746808869613802,-1.029998779296875,1.5500030517578125,1.1322982384898916,136.55999755859375,0,1,0
2022-02-01,ABBV,123.54150390625,137.0,137.83999633789062,136.0399932861328,137.3699951171875,7413900,0.0008035693684127487,0.1100006103515625,1.8000030517578125,1.3138708406991333,136.95999654134116,1,0,0
2022-02-02,ABBV,125.00237274169922,138.6199951171875,139.41000366210938,133.0500030517578,135.41000366210938,11363100,0.011824781877280977,1.6199951171875,6.3600006103515625,4.588083129692007,137.02666727701822,2,0,0
2022-02-03,ABBV,126.9050750732422,140.72999572753906,141.7100067138672,139.0399932861328,139.5,10272700,0.015221473702749622,2.1100006103515625,2.670013427734375,1.8972596523797716,140.4933319091797,3,0,0
2022-02-04,ABBV,126.8329620361328,140.64999389648438,142.8000030517578,139.22999572753906,140.14999389648438,6921500,-0.0005684774638207157,-0.0800018310546875,3.57000732421875,2.5382207459221116,140.8933308919271,4,0,1
2022-02-07,ABBV,128.52828979492188,142.52999877929688,143.00999450683594,140.3300018310547,141.1699981689453,9597800,0.013366547916071392,1.8800048828125,2.67999267578125,1.8803007778952785,141.9566650390625,0,1,0
2022-02-08,ABBV,129.4119873046875,143.50999450683594,143.60000610351562,141.25,142.02999877929688,7559500,0.006875715540112681,0.9799957275390625,2.350006103515625,1.6375208650737458,142.7866668701172,1,0,0
